msgid,msgstr
to your browser,do vášho prehliadača
!=,!=
"""Company History""","""História spoločnosti"""
"""Parent"" signifies the parent table in which this row must be added","""Rodič"" označuje rodičovskú tabuľku, do ktorej musí byť tento riadok pridaný"
"""Team Members"" or ""Management""","""Členovia tímu"" alebo ""Manažment"""
"""amended_from"" field must be present to do an amendment.","Pole ""amended_from"" musí byť prítomné na vykonanie zmeny."
"""{0}"" is not a valid Google Sheets URL","""{0}"" nie je platná URL adresa Google Sheets"
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} bol pridaný do frontu na optimalizáciu
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. a prispievatelia
&lt;head&gt; HTML,&lt;head&gt; HTML
'In Global Search' is not allowed for field {0} of type {1},"'""In Global Search"" nie je povolené pre pole {0} typu {1}'"
'In Global Search' not allowed for type {0} in row {1},'U globálneho vyhľadávania' nie je povolené pre typ {0} v riadku {1}
'In List View' is not allowed for field {0} of type {1},„'V zobrazení zoznamu' nie je povolené pre pole {0} typu {1}“
'In List View' not allowed for type {0} in row {1},'V zobrazení zoznamu' nie je povolené pre typ {0} v riadku {1}
'Recipients' not specified,'Nebol špecifikovaný 'Príjemcovia''
'{0}' is not a valid URL,'{0}' nie je platná URL adresa
'{0}' not allowed for type {1} in row {2},"""'{0}' nie je povolené pre typ {1} v riadku {2}"""
(Mandatory),(Povinné)
** Failed: {0} to {1}: {2},** Zlyhalo: {0} do {1}: {2}
+ Add / Remove Fields,+ Pridať / Odstrániť polia
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Návrh; 1 - Odoslané; 2 - Zrušené
0 is highest,0 je najvyššia
1 = True & 0 = False,1 = True a 0 = False
1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent,1 Mena = [?] Frakcia Napr. 1 USD = 100 Centov
1 Day,1 deň
1 Google Calendar Event synced.,1 Udalosť Google Kalendára synchronizovaná.
1 Report,1 Správa
1 comment,1 komentár
1 day ago,pred 1 dňom
1 hour,1 hodina
1 hour ago,1 hodina dozadu
1 minute ago,pred 1 minútou
1 month ago,pred 1 mesiacom
1 of 2,1 z 2
1 record will be exported,1 záznam bude exportovaný
1 second ago,1 sekunda dozadu
1 week ago,pred 1 týždňom
1 year ago,pred 1 rokom
2 hours ago,pred 2 hodinami
2 months ago,pred 2 mesiacmi
2 weeks ago,pred 2 týždňami
2 years ago,pred 2 rokmi
3 minutes ago,pred 3 minútami
30 minutes,30 minút
4 hours,4 hodiny
5 Records,5 záznamov
5 days ago,pred 5 dňami
; not allowed in condition,; nie je povolené v podmienke
<,<
<=,<=
<b>{0}</b> is not a valid URL,<b>{0}</b> nie je platná URL adresa
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">Prosím, neaktualizujte to, pretože to môže narušiť váš formulár. Použite Zobrazenie prispôsobenia formulára a Vlastné polia na nastavenie vlastností!</div>"
"<div class=""well"">     Edit list of Series in the box. Rules:     <ul>         <li>Each Series Prefix on a new line.</li>         <li>Allowed special characters are ""/"" and ""-""</li>         <li>             Optionally, set the number of digits in the series using dot (.)             followed by hashes (#). For example, "".####"" means that the series             will have four digits. Default is five digits.         </li>         <li>             You can also use variables in the series name by putting them             between (.) dots             <br>             Supported Variables:             <ul>                 <li><code>.YYYY.</code> - Year in 4 digits</li>                 <li><code>.YY.</code> - Year in 2 digits</li>                 <li><code>.MM.</code> - Month</li>                 <li><code>.DD.</code> - Day of month</li>                 <li><code>.WW.</code> - Week of the year</li>                 <li><code>.FY.</code> - Fiscal Year</li>                 <li>                     <code>.{fieldname}.</code> - fieldname on the document e.g.                     <code>branch</code>                 </li>             </ul>         </li>     </ul>     Examples:     <ul>         <li>INV-</li>         <li>INV-10-</li>         <li>INVK-</li>         <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>     </ul> </div> <br>","<div class=""well"">     Upravte zoznam sérií v poli. Pravidlá:     <ul>         <li>Každý prefix série na nový riadok.</li>         <li>Povolené špeciálne znaky sú ""/"" a ""-""</li>         <li>             Voliteľne, nastavte počet číslic v sérii použitím bodky (.)             nasledovanej mriežkami (#). Napríklad, "".####"" znamená, že séria             bude mať štyri číslice. Predvolený je počet piatich číslic.         </li>         <li>             Môžete tiež použiť premenné v názve série tak, že ich dáte             medzi bodky (.)             <br>             Podporované premenné:             <ul>                 <li><code>.YYYY.</code> - Rok v 4 čísliciach</li>                 <li><code>.YY.</code> - Rok v 2 čísliciach</li>                 <li><code>.MM.</code> - Mesiac</li>                 <li><code>.DD.</code> - Deň v mesiaci</li>                 <li><code>.WW.</code> - Týždeň v roku</li>                 <li><code>.FY.</code> - Fiskálny rok</li>                 <li>                     <code>.{fieldname}.</code> - názov poľa v dokumente, napr.                     <code>pobočka</code>                 </li>             </ul>         </li>     </ul>     Príklady:     <ul>         <li>INV-</li>         <li>INV-10-</li>         <li>INVK-</li>         <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>     </ul> </div> <br>"
"<h3>Custom CSS Help</h3>  <p>Notes:</p>  <ol> <li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li> <li>All values are given class <code>value</code></li> <li>All Section Breaks are given class <code>section-break</code></li> <li>All Column Breaks are given class <code>column-break</code></li> </ol>  <h4>Examples</h4>  <p>1. Left align integers</p>  <pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>  <p>1. Add border to sections except the last section</p>  <pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; } .section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>","<h3>Vlastná pomoc CSS</h3>  <p>Poznámky:</p>  <ol> <li>Všetky skupiny polí (označenie + hodnota) majú nastavené atribúty <code>data-fieldtype</code> a <code>data-fieldname</code></li> <li>Všetky hodnoty majú priradenú triedu <code>value</code></li> <li>Všetky sekčné zlomy majú priradenú triedu <code>section-break</code></li> <li>Všetky stĺpcové zlomy majú priradenú triedu <code>column-break</code></li> </ol>  <h4>Príklady</h4>  <p>1. Zarovnanie celých čísel doľava</p>  <pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>  <p>1. Pridanie rámčeka do sekcií okrem poslednej sekcie</p>  <pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; } .section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>"
